slug,name,summary,description,version,size_in_bytes,platforms,categories,type,website_url,download_url,is_featured,is_trending,release_date,developer_name,developer_website,developer_contact,features,media_logo_url,media_hero_image,media_gallery,requirements_minimum,requirements_recommended,changelog,json_stats_downloads,json_stats_views,json_stats_rating,json_stats_votes
nova-desk,Nova Desk,"AI productivity cockpit for distributed teams","Nova Desk unifies task orchestration, knowledge surfacing, and collaborative AI copilots so hybrid teams can coordinate projects, meetings, and decision logs in a single workspace. The suite syncs tasks across PM tools, captures meeting insights automatically, and provides adaptive automations that remove busywork for fast-scaling companies.",3.4.1,512000000,windows|mac|linux,productivity|utilities,freemium,https://novadesk.app,https://download.novadesk.app/latest,true,true,2024-08-12,Nova Labs,https://novalabs.io,hello@novalabs.io,AI copilots|Meeting transcripts|Unified inbox|Workflow templates|Offline mode,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1527430253228-e93688616381?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523476893152-5e0d7d17c1d2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1200&q=80,Intel i5|8GB RAM|SSD,Intel i7|16GB RAM|Dedicated GPU,"[{""version"":""3.4.1"",""date"":""2024-08-12"",""highlights"":""AI copilots, Offline sync""}]",182000,420000,4.7,5600
blueprint-studio,Blueprint Studio,"Generative UI/UX design suite","Blueprint Studio accelerates interface design with AI-assisted wireframes, component-level collaboration, and continuous handoff to engineering. Designers co-create with generative layouts, version ideas quickly, and share accessible prototypes that sync bidirectionally with production codebases.",2.1.0,628000000,windows|mac,design,freemium,https://blueprint.studio,https://cdn.blueprint.studio/mac/latest,true,false,2024-05-30,Blueprint Collective,https://blueprintcollective.com,contact@blueprintcollective.com,AI wireframes|Realtime feedback|Design QA|Component sync|Accessibility reports,https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1580894894513-541e068a055d?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1200&q=80,Apple M1|8GB RAM,Apple M2|16GB RAM|Metal GPU,"[{""version"":""2.1.0"",""date"":""2024-05-30"",""highlights"":""Realtime voice notes, Figma sync""}]",204000,610000,4.8,7800
sentinel-core,Sentinel Core,"Zero-trust endpoint security hub","Sentinel Core protects workstations with adaptive threat detection, decentralized policy orchestration, and encrypted telemetry exports. Security teams monitor fleets in real time, isolate compromised hosts instantly, and automate remediation workflows without sacrificing user productivity.",5.2.3,450000000,windows|linux,security,freemium,https://sentinelcore.io,https://download.sentinelcore.io/latest,true,true,2024-04-09,Sentinel Works,https://sentinelworks.com,security@sentinelworks.com,Behavioral AI|Playbooks|Offline isolation|SIEM export|Device posture,https://images.unsplash.com/photo-1510511459019-5dda7724fd87?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1510511459019-5dda7724fd87?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1556157382-97eda2d62296?auto=format&fit=crop&w=1200&q=80,Intel i3|8GB RAM,Intel i7|16GB RAM|TPM 2.0,"[{""version"":""5.2.3"",""date"":""2024-04-09"",""highlights"":""Kernel telemetry, Automation""}]",158000,280000,4.6,5200
lumen-note,Lumen Note,"Lightweight research notebook","Lumen Note helps students and researchers collect multimedia snippets, generate citations automatically, and collaborate on annotated outlines. Semantic search and timeline views make it easy to revisit sources and synthesize long-form findings across semesters.",1.8.4,280000000,mac,productivity|education,free,https://lumennote.com,https://lumennote.com/download/mac,false,false,2024-01-12,Lumen Labs,https://lumenlabs.org,support@lumenlabs.org,Semantic search|Citation engine|Offline cache|Canvas mode|Multi-device sync,https://images.unsplash.com/photo-1515879218367-8466d910aaa4?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,macOS 13|4GB RAM,macOS 14|8GB RAM|iCloud Drive,"[{""version"":""1.8.4"",""date"":""2024-01-12"",""highlights"":""Canvas mode, Notion import""}]",72000,130000,4.8,980
nebula-engine,Nebula Engine,"WebGPU runtime for indie teams","Nebula Engine ships a modular WebGPU runtime with cinematic rendering pipelines, XR tooling, and on-device asset optimizers. Indie studios deploy to browsers and desktops with a single codebase while retaining AAA lighting, physics, and audio fidelity.",0.9.5,671088640,windows|linux,multimedia|development,open-source,https://nebula.engine.dev,https://github.com/nebula/engine/releases/latest,true,false,2024-06-25,Nebula OSS,https://github.com/nebula,community@nebula.engine.dev,WebGPU renderer|XR toolkit|Physics engine|Shader graph|Asset optimizer,https://images.unsplash.com/photo-1525182008055-f88b95ff7980?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1487058792275-0ad4aaf24ca7?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1525182008055-f88b95ff7980?auto=format&fit=crop&w=1200&q=80,Windows 10|8GB RAM|DX12 GPU,Windows 11|16GB RAM|RTX 3070,"[{""version"":""0.9.5"",""date"":""2024-06-25"",""highlights"":""WebXR stabilizer, SDF shaders""}]",95000,204000,4.6,2300
aurora-desk,Aurora Desk,"Realtime AI support console","Aurora Desk centralizes conversations, knowledge bases, and AI automations for SaaS support teams targeting sub-minute resolution times. Agents co-work with adaptive copilots, surface best responses instantly, and escalate with full context to engineering.",3.4.6,209715200,web,productivity,freemium,https://auroradesk.app,https://auroradesk.app/signup,false,false,2024-05-21,Aurora Labs,https://auroralabs.support,team@auroralabs.support,AI macros|Knowledge embeddings|Realtime analytics|Integrations|Role-based access,https://images.unsplash.com/photo-1556157382-97eda2d62296?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1473093226795-af9932fe5856?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=1200&q=80,Chrome 110|4GB RAM,Chrome 120|8GB RAM|OpenAI key,"[{""version"":""3.4.6"",""date"":""2024-05-21"",""highlights"":""Agent co-work, Knowledge embeddings""}]",61000,150000,4.2,2200
flux-render,Flux Render,"Cloud cinematic renderer","Flux Render delivers unbiased GPU render queues with collaborative shot review, USD pipelines, and color-managed deliveries. Creative agencies render campaign visuals faster while clients approve iterations inside an immersive viewer.",7.0.1,805306368,windows|mac,multimedia|design,freemium,https://fluxrender.com,https://fluxrender.com/download,true,false,2024-03-08,Flux Collective,https://fluxcollective.studio,hello@fluxcollective.studio,USD pipeline|ACES color|Shot review|Queue manager|GPU scaling,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?auto=format&fit=crop&w=1200&q=80,Windows 10|8GB RAM|Metal/DX12 GPU,Windows 11|32GB RAM|RTX 3080,"[{""version"":""7.0.1"",""date"":""2024-03-08"",""highlights"":""ACES pipeline, Onion-skin editor""}]",132000,280000,4.6,3500
pixel-forge,Pixel Forge,"Procedural image lab","Pixel Forge pairs diffusion models with non-destructive editing, procedural brushes, and brand-safe outputs. Illustrators craft production-ready assets while retaining control over prompts, color palettes, and export formats.",1.2.0,314572800,windows|mac,design,freemium,https://pixelforge.design,https://pixelforge.design/download,false,false,2024-07-09,Forge Studio,https://forgestudio.design,hello@forgestudio.design,Diffusion engine|Procedural brushes|Prompt history|Texture baking|Color controls,https://images.unsplash.com/photo-1618005198919-d3d4b5a92eee?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1580894906472-4be22482c37f?auto=format&fit=crop&w=1200&q=80,Windows 10|8GB RAM|Dedicated GPU,Windows 11|16GB RAM|RTX 3060,"[{""version"":""1.2.0"",""date"":""2024-07-09"",""highlights"":""Prompt history, Texture baking""}]",88000,210000,4.4,2750
gridwave-analytics,Gridwave Analytics,"Hybrid analytics lakehouse","Gridwave Analytics enables data teams to query streaming and historical sources with SQL-first notebooks, auto-scaling compute, and governance guardrails. Analysts explore datasets collaboratively while operations teams monitor costs in real time.",2.3.0,241172480,web,productivity|development,freemium,https://gridwave.io,https://gridwave.io/signup,false,false,2024-08-11,Gridwave Inc.,https://gridwave.io/company,hello@gridwave.io,Streaming SQL|Notebook branching|Lineage|Autoscaling|Access controls,https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1517760444937-f6397edcbbcd?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1517433456452-f9633a875f6f?auto=format&fit=crop&w=1200&q=80,Chrome 108|8GB RAM,Safari 17|16GB RAM|Snowflake access,"[{""version"":""2.3.0"",""date"":""2024-08-11"",""highlights"":""Notebook branching, Streaming lineage""}]",82000,190000,4.3,2600
vector-hub,Vector Hub,"Managed vector database","Vector Hub powers production AI workloads with IVF/PQ indexing, hybrid search, and evaluation dashboards. ML engineers deploy retrieval pipelines faster and observe quality drifts with configurable benchmarks.",1.5.2,255852544,web|linux,development|productivity,freemium,https://vectorhub.ai,https://vectorhub.ai/signup,true,true,2024-06-03,Vector Labs,https://vectorlabs.ai,hello@vectorlabs.ai,Hybrid search|Embeddings toolkit|Model eval|Streaming ingestion|Usage analytics,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?auto=format&fit=crop&w=160&q=80,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=1600&q=80,https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1200&q=80,Ubuntu 20.04|8GB RAM,Ubuntu 22.04|16GB RAM|GPU inference,"[{""version"":""1.5.2"",""date"":""2024-06-03"",""highlights"":""Hybrid filters, Python SDK""}]",101000,240000,4.5,3100
